id_cliente,mes,idade,profissao,salario_anual,num_contas,num_cartoes,juros_emprestimo,num_emprestimos,dias_atraso,num_pagamentos_atrasados,num_verificacoes_credito,mix_credito,divida_total,taxa_uso_credito,idade_historico_credito,investimento_mensal,comportamento_pagamento,saldo_final_mes,emprestimo_carro,emprestimo_casa,emprestimo_pessoal,emprestimo_credito,emprestimo_estudantil
33105.82,3.44,49.09,empresario,41717.3,7.38,5.11,5.46,0.06,28.51,21.26,2.15,Bom,2746.33,32.8,302.31,75.46,alto_gasto_pagamento_medio,558.47,0.3,0.21,-0.16,0.24,-0.61
23999.88,3.43,30.89,musico,65416.96,3.97,4.24,13.87,6.08,38.23,11.49,11.23,Bom,2294.8,29.71,98.53,66.69,alto_gasto_pagamento_baixos,775.19,0.39,0.11,-0.24,0.0,0.51
35270.87,5.05,34.04,arquiteto,2051.79,1.88,2.42,23.04,5.74,24.89,-3.25,5.73,Bom,2339.96,24.35,243.89,64.87,baixo_gasto_pagamento_baixo,343.21,0.59,-0.65,0.52,0.35,0.06
47823.74,0.12,17.98,musico,92327.8,3.09,7.81,21.49,3.58,25.74,15.47,-0.67,Ruim,375.76,32.64,351.52,68.62,alto_gasto_pagamento_baixos,240.7,0.14,0.38,1.13,0.13,0.67
22624.78,0.55,27.46,gerente_midia,156912.91,2.44,5.17,27.6,2.23,41.39,10.85,1.65,Normal,3046.63,26.85,60.99,28.58,baixo_gasto_pagamento_baixo,213.32,0.58,1.06,0.0,1.2,0.29
22625.02,3.21,34.51,musico,96220.84,5.72,4.69,17.49,-0.12,23.68,11.51,1.96,Normal,-193.1,34.71,239.62,64.16,alto_gasto_pagamento_baixos,228.19,-0.59,0.34,-0.47,0.0,0.55
48629.44,2.18,20.93,mecanico,58878.84,6.88,7.97,44.01,1.6,16.5,16.14,6.19,Bom,2104.12,27.58,247.13,66.53,alto_gasto_pagamento_alto,377.15,0.46,0.83,0.62,-0.11,0.13
36988.1,5.22,37.36,medico,84276.06,7.67,3.68,6.49,5.35,31.05,12.28,4.12,Normal,3956.48,40.22,299.15,27.24,alto_gasto_pagamento_medio,461.49,0.33,-0.03,-0.35,0.11,0.51
19250.15,2.42,26.85,arquiteto,11857.74,7.69,7.26,11.05,3.01,17.28,14.65,3.25,Normal,282.02,28.28,97.92,127.88,baixo_gasto_pagamento_baixo,448.49,0.21,-0.14,-0.24,0.13,1.08
33763.27,1.26,30.18,engenheiro,-10134.13,7.33,6.15,14.0,2.49,15.64,0.7,5.81,Ruim,772.07,30.64,89.6,73.58,baixo_gasto_pagamento_medio,559.5,0.09,0.14,0.54,0.59,-0.03
